comment,new_annotation,old_comment
"Darwin was a friend of Godwin and a member of the Lunar Society of Birmingham, a society of prominent intellectuals of the Midlands Enlightenment. Along with Darwin, the Lunar Society also included Percy Shelley's science teacher at Eton, Dr. James Lind (1736-1812), who encouraged the young Percy's interest in science.",https://hypothes.is/a/LFuQDF33EemqNnvhJIgDLg,https://hypothes.is/a/0_-afD_nEeeCBjtumcj9dg
"Shelley, Percy Bysshe. Alastor: Or, The Spirit of Solitude, and Other Poems. Reeves and Turner, 1885, p. 59.",https://hypothes.is/a/5UNsSF33EemcrdsRc-qorg,https://hypothes.is/a/m-cbZoUPEeei1EcMKzwoJw
let's wait on 1831 references until we see the cross-referencinng strategy from the team,https://hypothes.is/a/tnDaaF33Eemv0GetbzMikg,https://hypothes.is/a/a60aTpysEei79RsGKuXl6A
"Add reference to Anne Mellor on Davy, probably in the Mary Shelley book.",https://hypothes.is/a/EU4tMl34Eem40ItESsBexA,https://hypothes.is/a/x5NaOIUNEeehTRfhLHMAZg
find French title,https://hypothes.is/a/sG-D5F33EemgAXv1GB3LvQ,https://hypothes.is/a/_N1fwoUXEeeTNadsjOxcXA
Source text and reference to scholarly literature.,https://hypothes.is/a/UAPBll33EemrBAuBWwXxpw,https://hypothes.is/a/AgIqnor_Eeib-fc903RfZg
"corrections needed:
This was November 1832 in The Athaeum, find pages, volume no. for full citation. It was an unpublished review from 1817? See Norton editorial note.",https://hypothes.is/a/adEaBl33EemW2s9CJ4LLog,https://hypothes.is/a/H2WOEl05EeiacgvoQ1ZIog
referring to Cape of Good Hope and Cape Horn.,NA,https://hypothes.is/a/lgLIJl1tEei9sNuk6iu6Yg
Corrected,https://hypothes.is/a/1C56fl33Eem1UGe5ZghXTA,https://hypothes.is/a/hRjGYE-DEemjSItBlpZVfw
"Alchemists like Agrippa also believed they might produce an ""elixir of life"" that could prolong life, perhaps indefinitely, or heal all disease. Some associated such elixirs with the philosophers stone, a substance that was thought to turn metals into gold.",https://hypothes.is/a/kdK52F33Eemf_geiPpB1jQ,https://hypothes.is/a/S_h2sj_xEeefo7NPyM0tFA
Check against 1831 edition.,https://hypothes.is/a/ect46F33EemEV_Ok7CxFUA,https://hypothes.is/a/M8Ukwl1vEeiOjPeJoJWmxQ
Discuss--how to tie this to Ruins of Empire passage in book 2,https://hypothes.is/a/x5IdwF33EemVEa-SvNaehw,https://hypothes.is/a/eTAEdpwFEeiHnR-1jiKm5A
For discussion.,https://hypothes.is/a/U_JQpl33EemPim_EUCSuYw,https://hypothes.is/a/BjrQkj_oEeeDyncwlimSyg
Add citation.,https://hypothes.is/a/s2YvTl33EemYJD8TZVzlDw,https://hypothes.is/a/_wUawIa-Eeiil3uZDS7pgA
Addressed in Chapter 1.,NA,https://hypothes.is/a/f_wf8OehEeiPoFf7PkwcwQ
"Find more appropriate passage for this and follow up. 

McGavran, James Holt. ""“Insurmountable barriers to our union”: Homosocial male bonding, homosexual panic, and death on the ice in Frankenstein."" European Romantic Review 11.1 (2000): 46-67.

",https://hypothes.is/a/k1huul33EemwRKdUonorgg,https://hypothes.is/a/SuKRhl2vEei__Use8eTQ9A
An incantation in Agrippa's book was said to conjure demonic beings.,https://hypothes.is/a/kdK52F33Eemf_geiPpB1jQ,https://hypothes.is/a/S_h2sj_xEeefo7NPyM0tFA
I am thinking 1995 is likely off here ...,https://hypothes.is/a/9EgcSF33Eem3u8-T_muwsQ,https://hypothes.is/a/paPrDNirEeiMn1dSs764_Q
Addressed above.,NA,https://hypothes.is/a/68QiRuehEeizpw-_1ZuZ3A
"Apparently, incest was a topic very much on the young Shelley's mind, as she would later explore father-daughter relations in the short novel *Mathilda* (1819) causing much consternation to her father, who rightly feared readers would think the work autobiographical.",https://hypothes.is/a/tNsAFl33EembebeLt3bN2Q,https://hypothes.is/a/a4mdSj_wEeejCuv0bq6W1A
"Seneca the Younger (c. 4 BC – AD 65) was a Roman Stoic philosopher, statesman, and dramatist.",https://hypothes.is/a/Wv_3kF33Eemjtwf9FvcaHQ,https://hypothes.is/a/CqDcyuHsEeeJdeMFTOO9Aw
Invention date for microscope.,https://hypothes.is/a/Vuornl33EemN26_Y5yWq7w,https://hypothes.is/a/C0qz9obBEeiAj0_hlZfI_w
"From Romantic Circles:
""Percy Bysshe Shelley, feigning the author's being abroad, handled the negotiations for a contract to publish Frankenstein, thus preserving Mary Shelley's anonymity. That he first sought out John Murray, Byron's publisher, may indicate that Byron himself suggested such an avenue to the Shelleys. Whatever the case, Murray declined the manuscript, upon whose refusal Shelley reverted to his own publisher Charles Ollier. When Ollier, too, declined to accept the book, the Shelleys were in something of a quandary. They resolved it by turning to a publishing house—Lackington's—that had a large inventory and specialized somewhat in sensational materials.""
https://www.rc.umd.edu/editions/frankenstein/V1notes/lackingt",https://hypothes.is/a/ZM0iZl33EemFy_PKko-oHg,https://hypothes.is/a/FMM7SlE1EeiHxGOvZmJ3rg
check spelling of Beumont,https://hypothes.is/a/1C56fl33Eem1UGe5ZghXTA,https://hypothes.is/a/hRjGYE-DEemjSItBlpZVfw
"The story is set in French-speaking Geneva, Switzerland, which was an independent republic or city-state until the end of the eighteenth century. It had no monarch and was ruled by a legislature. A descendent of Genovese, Victor's native tongue would have been French.",https://hypothes.is/a/ZYC_2F33EemIk_vaC-zUvQ,https://hypothes.is/a/FUO7HD_yEeeIZ-e37-oKvA
"The first printing in German is from 1774, the first French translation is from 1776.",https://hypothes.is/a/g_0ZIF33EemVDfO2-8CtWw,https://hypothes.is/a/PgN-FoUbEee5ygdgCAEx1w
see Klinger,https://hypothes.is/a/A57xvF34Eemiov8Qq9ynxA,https://hypothes.is/a/sjx6CF1qEeifCFtcpxfj7A
"In his *On the Nature of Things*, Paracelsus describes the artificial creation of a tiny humanoid called a ""homunculus"".",https://hypothes.is/a/BdWCKl34EemxSXul778pfg,https://hypothes.is/a/t-MpOj_xEeer_UvcATsMAg
"EDIT: give line reference to PL, rather than whole block quote. Also refer to Walton and Victor and the relationship.",https://hypothes.is/a/sSNnYF33Eem2OPvrBxYPTw,https://hypothes.is/a/_eMz1l3REeioIrNHbhFX0A
"Corrected. Also, what are you doing?",https://hypothes.is/a/cfFCiF33Eem1T-uePvdFlg,https://hypothes.is/a/IWOXFE-GEemx8EdNOjOGdg
These are all cases where Ruins of Empire. ,https://hypothes.is/a/x5IdwF33EemVEa-SvNaehw,https://hypothes.is/a/eTAEdpwFEeiHnR-1jiKm5A
Which edition of Childe Harold.,https://hypothes.is/a/GjztSF34Eem1VtMehFK0FQ,https://hypothes.is/a/zSGmfIsAEeiFt7ek2ZZsnA
"The term ""genius"" may refer to an attendant spirit or daemon to Victor.",https://hypothes.is/a/koyYEl33EemwQ_fvDEydxA,https://hypothes.is/a/SbQjfj_xEeeM3qf1ac50Ig
"Note: Klinger edition does not include preface.
Romantic Circles includes: ""The chief figure among relevant German scientists would appear to be Johann Wilhelm Ritter (1776-1810), who conducted extensive experiments in galvanism. Other commentators have at various times suggested J. F. Blumenbach, Friedrich Tiedemann, Goethe, Schelling, and Lorenz Oken."" 
https://www.rc.umd.edu/editions/frankenstein/1831v1/intro.html#p06",https://hypothes.is/a/A57xvF34Eemiov8Qq9ynxA,https://hypothes.is/a/sjx6CF1qEeifCFtcpxfj7A
Revise wording.,https://hypothes.is/a/jiOhEl33EemZL2Ppg8dhEA,https://hypothes.is/a/S5T0fIbAEeivUSu6iGCJHQ
"I don't really think this is a contemporary scientific reference, maybe cut.",https://hypothes.is/a/AS1fGF34Eem1U39sFfwUdg,https://hypothes.is/a/sXMN7IbAEeikTmvOdVuN1A
Not sure we should speculate this much.,https://hypothes.is/a/k1huul33EemwRKdUonorgg,https://hypothes.is/a/SuKRhl2vEei__Use8eTQ9A
"Notes that Kirwin is a Magistrate below. For further information on the significance of law in the novel, see Grossman, Jonathan H. ""Mary Shelley's Legal Frankenstein"" in The Art of Alibi: English Law Courts and the Novel. JHU Press, 2002, pp. 62-82.
",NA,https://hypothes.is/a/Ij6PhOegEeiIhQfw6zSufA
probably too much here,https://hypothes.is/a/7to2Vl33Eem2PJccOo3dlw,https://hypothes.is/a/oNggHl2wEeiFAudteJTH-w
"The OED dates first use of ""scientist"" to 1834, although Mary does use word ""scientifical"" in the text: ""our family was not scientifical""",https://hypothes.is/a/koyYEl33EemwQ_fvDEydxA,https://hypothes.is/a/SbQjfj_xEeeM3qf1ac50Ig
italics for titles,https://hypothes.is/a/-xE82l33EemhKevt4F1qvQ,https://hypothes.is/a/rBi1NunfEeihz08tAvSsAg
